,Upwelling,Sahel,Sahara,West Africa,Central Africa,Europe,North America,South America,North Atlantic,South Atlantic
2007-01-01 00:00,0.0,1.12,75.35,0.0,0.0,7.43,0.0,0.0,16.09,0.0
2007-01-01 06:00,0.0,1.8,71.7,0.04,0.0,8.24,0.0,0.0,18.22,0.0
2007-01-01 12:00,0.0,1.58,73.36,0.07,0.0,11.41,0.0,0.0,13.57,0.0
2007-01-01 18:00,0.0,1.96,71.4,0.0,0.0,4.6,0.0,0.0,21.93,0.11
2007-01-02 00:00,0.0,0.67,63.71,0.15,0.0,5.66,0.0,0.0,29.81,0.0
2007-01-02 06:00,0.0,1.4,63.19,0.0,0.0,6.13,1.58,0.0,27.7,0.0
2007-01-02 12:00,0.0,0.41,68.48,0.0,0.0,9.13,0.07,0.0,21.91,0.0
2007-01-02 18:00,0.0,0.42,63.85,0.0,0.0,11.68,0.0,0.0,24.05,0.0
2007-01-03 00:00,0.0,0.59,64.75,0.0,0.0,10.28,0.0,0.0,24.39,0.0
2007-01-03 06:00,0.0,3.04,64.12,0.0,0.0,7.05,0.37,0.0,25.41,0.0
2007-01-03 12:00,0.0,5.11,72.44,0.0,0.0,4.23,0.0,0.0,18.23,0.0
2007-01-03 18:00,0.0,5.47,74.15,0.0,0.0,6.14,0.0,0.0,14.24,0.0
2007-01-04 00:00,0.0,5.66,68.26,0.07,0.0,6.87,0.0,0.0,19.15,0.0
2007-01-04 06:00,0.0,17.01,55.08,0.53,0.0,7.12,0.0,0.0,20.26,0.0
2007-01-04 12:00,0.0,6.56,59.1,0.09,0.0,11.03,0.0,0.0,22.39,0.83
2007-01-04 18:00,0.0,6.16,56.54,0.0,0.0,21.94,0.0,0.0,14.21,1.15
2007-01-05 00:00,0.0,2.4,51.31,0.0,0.0,24.3,0.0,0.0,21.99,0.0
2007-01-05 06:00,0.0,3.83,39.68,0.0,0.0,24.87,0.0,0.0,31.17,0.45
2007-01-05 12:00,0.0,8.99,44.89,0.0,0.0,20.86,0.0,0.0,22.66,2.59
2007-01-05 18:00,0.0,8.36,50.45,0.0,0.0,20.1,0.0,0.0,20.75,0.35
2007-01-06 00:00,0.0,4.27,49.85,0.0,0.0,16.32,0.0,0.0,29.55,0.0
2007-01-06 06:00,0.0,6.47,38.02,0.0,0.0,10.05,0.0,0.0,45.45,0.0
2007-01-06 12:00,0.0,1.61,59.39,0.0,0.0,16.76,0.0,0.0,22.24,0.0
2007-01-06 18:00,0.0,0.69,61.24,0.0,0.0,13.88,0.0,0.0,24.18,0.0
2007-01-07 00:00,0.0,0.2,53.06,0.0,0.0,10.6,0.0,0.0,36.15,0.0
2007-01-07 06:00,0.0,0.43,51.05,0.0,0.0,11.28,0.0,0.0,37.24,0.0
2007-01-07 12:00,0.25,0.51,40.58,0.0,0.0,14.75,2.02,0.0,41.89,0.0
2007-01-07 18:00,0.25,0.89,41.13,0.0,0.0,11.03,1.84,0.0,44.86,0.0
2007-01-08 00:00,0.0,0.0,40.99,0.0,0.0,9.68,1.59,0.0,47.74,0.0
2007-01-08 06:00,0.0,0.0,42.72,0.0,0.0,11.42,2.09,0.0,43.77,0.0
2007-01-08 12:00,2.36,0.5,49.0,0.0,0.0,10.73,1.59,0.0,35.82,0.0
2007-01-08 18:00,5.98,0.27,52.23,0.0,0.0,6.56,0.54,0.0,34.42,0.0
2007-01-09 00:00,2.22,0.05,53.49,0.0,0.0,3.8,0.27,0.0,40.17,0.0
2007-01-09 06:00,0.08,0.0,55.12,0.0,0.0,2.6,0.28,0.0,41.93,0.0
2007-01-09 12:00,0.31,0.0,42.85,0.0,0.0,1.94,0.26,0.0,54.63,0.0
2007-01-09 18:00,8.98,0.0,42.97,0.0,0.0,3.06,0.25,0.0,44.73,0.0
2007-01-10 00:00,16.99,0.0,45.17,0.0,0.0,3.23,0.05,0.0,34.56,0.0
2007-01-10 06:00,13.64,0.0,55.61,0.0,0.0,3.63,0.0,0.0,27.12,0.0
2007-01-10 12:00,15.73,0.04,57.2,0.0,0.0,3.01,0.0,0.0,24.03,0.0
2007-01-10 18:00,20.97,0.12,50.14,0.0,0.0,2.24,0.0,0.0,26.54,0.0
2007-01-11 00:00,23.77,0.0,37.51,0.0,0.0,1.17,0.0,0.0,37.56,0.0
2007-01-11 06:00,30.76,0.27,26.11,0.33,0.38,0.77,0.0,0.0,41.38,0.0
2007-01-11 12:00,25.27,5.01,28.27,1.5,0.47,0.52,0.0,0.0,38.97,0.0
2007-01-11 18:00,28.28,0.47,30.97,0.23,0.0,0.93,0.0,0.0,39.11,0.0
2007-01-12 00:00,21.35,0.0,43.51,0.0,0.02,1.68,0.0,0.0,33.44,0.0
2007-01-12 06:00,15.6,0.1,39.02,0.28,0.05,1.63,0.0,0.0,43.33,0.0
2007-01-12 12:00,19.03,0.22,31.0,0.14,0.06,1.12,0.0,0.0,48.43,0.0
2007-01-12 18:00,20.89,0.74,30.23,0.49,0.03,1.07,0.0,0.0,46.55,0.0
